round,best_score,visual,layout,color,typography,components,interaction,param
5,62.8695,0.4234,0.7542,0.7759,1.0,0.0847,0.8576,color|ink-violet|accent|h
10,62.8695,0.4234,0.7542,0.7759,1.0,0.0847,0.8576,color|paper-sand|editor_line|l
15,62.8695,0.4234,0.7542,0.7759,1.0,0.0847,0.8576,color|ink-violet|text_secondary|h
16,62.8711,0.4234,0.7542,0.7761,1.0,0.0846,0.8576,color|paper-sand|danger|s
17,62.8711,0.4234,0.7542,0.7761,1.0,0.0846,0.8576,color|paper-sand|border|s
20,63.1034,0.4234,0.7542,0.7797,1.0,0.0859,0.8576,color|sakura-pop|danger|h
22,63.1236,0.4234,0.7556,0.7797,1.0,0.0859,0.8576,geom|spacing_sm
24,63.1272,0.4234,0.7556,0.7797,1.0,0.0864,0.8576,color|ink-violet|danger|h
30,63.1624,0.4234,0.7556,0.7797,1.0,0.0907,0.8576,color|ink-violet|pressed|l
31,63.1624,0.4234,0.7556,0.7797,1.0,0.0907,0.8576,color|ink-violet|surface_3|l
34,63.1643,0.4234,0.7556,0.7797,1.0,0.091,0.8576,color|paper-sand|accent|l
40,63.1643,0.4234,0.7556,0.7797,1.0,0.091,0.8576,color|paper-sand|text_muted|h
56,63.2797,0.4234,0.7556,0.7784,1.0,0.091,0.8576,color|sakura-pop|surface_2|h
60,63.2797,0.4234,0.7556,0.7784,1.0,0.091,0.8576,color|ink-violet|accent_gold|l
61,63.4028,0.4234,0.7644,0.7784,1.0,0.091,0.8576,geom|radius_md
63,63.4028,0.4234,0.7644,0.7784,1.0,0.091,0.8576,color|paper-sand|text_secondary|h
76,63.4028,0.4234,0.7644,0.7784,1.0,0.091,0.8576,color|sakura-pop|pressed|s
80,63.591,0.4234,0.7644,0.7784,1.0,0.0969,0.8576,color|sakura-pop|pressed|l
81,63.5937,0.4234,0.7644,0.7784,1.0,0.0972,0.8576,color|paper-sand|accent|h
85,63.6444,0.4234,0.7644,0.7816,1.0,0.0985,0.8576,color|paper-sand|danger|l
93,63.6514,0.4234,0.7644,0.7821,1.0,0.0985,0.8576,color|paper-sand|error_bg|h
95,63.6514,0.4234,0.7644,0.7821,1.0,0.0985,0.8576,color|ink-violet|accent_pink|s
104,63.6754,0.4234,0.7661,0.7821,1.0,0.0985,0.8576,geom|spacing_md
108,63.6754,0.4234,0.7661,0.7821,1.0,0.0985,0.8576,color|paper-sand|accent_gold|l
111,63.7179,0.4234,0.7661,0.7821,1.0,0.0985,0.8647,color|paper-sand|accent_alt|s
112,63.7539,0.4234,0.7661,0.7821,1.0,0.1,0.8687,color|paper-sand|surface_hover|h
113,63.7659,0.4244,0.7661,0.7821,1.0,0.0992,0.8687,color|sakura-pop|surface_hover|s
117,63.7659,0.4244,0.7661,0.7821,1.0,0.0992,0.8687,color|ink-violet|text_primary|l
118,63.7697,0.4244,0.7661,0.7824,1.0,0.0992,0.8687,color|paper-sand|text_muted|s
119,63.7777,0.4253,0.7661,0.7824,1.0,0.0992,0.8687,color|ink-violet|surface_0|l
122,63.7805,0.4253,0.7661,0.7824,1.0,0.0996,0.8687,color|paper-sand|accent|h
125,63.7805,0.4253,0.7661,0.7824,1.0,0.0996,0.8687,color|sakura-pop|accent|s
128,63.8135,0.4253,0.7661,0.7824,1.0,0.104,0.8687,color|ink-violet|accent|h
130,63.8144,0.4253,0.7661,0.7824,1.0,0.1041,0.8687,color|ink-violet|danger|h
132,63.8654,0.4253,0.7661,0.7824,1.0,0.1063,0.8742,color|paper-sand|surface_hover|l
136,63.8751,0.4253,0.7661,0.7831,1.0,0.1063,0.8742,color|paper-sand|text_muted|s
140,63.8751,0.4253,0.7661,0.7831,1.0,0.1063,0.8742,color|paper-sand|surface_0|h
146,63.8821,0.4253,0.7661,0.7831,1.0,0.1072,0.8742,color|ink-violet|accent|h
147,63.893,0.4253,0.7661,0.7831,1.0,0.1086,0.8742,color|ink-violet|danger|h
152,63.9685,0.4253,0.7661,0.7846,1.0,0.1086,0.8742,color|sakura-pop|surface_2|s
162,64.1849,0.4253,0.7661,0.7846,1.0,0.1153,0.8742,color|sakura-pop|accent|l
164,64.3594,0.4253,0.7661,0.7846,1.0,0.1153,0.9033,color|paper-sand|accent_alt|l
168,64.3594,0.4253,0.7661,0.7846,1.0,0.1153,0.9033,color|sakura-pop|surface_1|s
170,64.3594,0.4253,0.7661,0.7846,1.0,0.1153,0.9033,color|paper-sand|surface_3|h
176,64.3594,0.4253,0.7661,0.7846,1.0,0.1153,0.9033,color|ink-violet|border_strong|s
179,64.4319,0.4253,0.7661,0.786,1.0,0.1153,0.9033,color|sakura-pop|surface_2|s
184,64.6275,0.4253,0.7661,0.786,1.0,0.1214,0.9033,color|sakura-pop|accent|l
185,64.6456,0.4253,0.7661,0.786,1.0,0.1237,0.9033,color|ink-violet|pressed|s
190,64.7257,0.4253,0.7718,0.786,1.0,0.1237,0.9033,geom|spacing_lg
193,64.7592,0.4253,0.7718,0.7866,1.0,0.1237,0.9033,color|sakura-pop|error_bg|s
194,64.7592,0.4253,0.7718,0.7866,1.0,0.1237,0.9033,color|paper-sand|text_muted|h
198,64.7601,0.4253,0.7718,0.7867,1.0,0.1237,0.9033,color|paper-sand|text_secondary|l
201,64.7766,0.4253,0.7718,0.7867,1.0,0.1242,0.9033,color|sakura-pop|pressed|h
205,64.7766,0.4253,0.7718,0.7867,1.0,0.1242,0.9033,color|ink-violet|surface_3|l
212,64.8321,0.4253,0.7718,0.7867,1.0,0.126,0.9033,color|sakura-pop|pressed|l
215,65.5529,0.4253,0.8233,0.7867,1.0,0.126,0.9033,geom|radius_sm
224,66.0051,0.4253,0.8233,0.7954,1.0,0.126,0.9033,color|sakura-pop|error_bg|l
226,66.0467,0.4253,0.8233,0.7962,1.0,0.126,0.9033,color|sakura-pop|text_muted|h
239,66.05,0.4253,0.8233,0.7962,1.0,0.1264,0.9033,color|ink-violet|danger|s
245,66.0965,0.4253,0.8233,0.7998,1.0,0.1264,0.9033,color|paper-sand|error_bg|l
255,66.0965,0.4253,0.8233,0.7998,1.0,0.1264,0.9033,color|paper-sand|accent_gold|h
256,66.1937,0.4253,0.8303,0.7998,1.0,0.1264,0.9033,geom|radius_lg
259,66.1937,0.4253,0.8303,0.7998,1.0,0.1264,0.9033,color|ink-violet|surface_hover|s
272,66.1937,0.4253,0.8303,0.7998,1.0,0.1264,0.9033,color|ink-violet|text_secondary|s
274,66.2098,0.4282,0.8303,0.7998,1.0,0.1251,0.9033,color|ink-violet|surface_0|l
275,66.2098,0.4282,0.8303,0.7998,1.0,0.1251,0.9033,geom|line_height_ratio
289,66.2599,0.4282,0.8303,0.7998,1.0,0.1251,0.9117,color|paper-sand|accent_alt|l
316,66.2647,0.4282,0.8303,0.8001,1.0,0.1251,0.9117,color|paper-sand|error_bg|h
317,66.2764,0.4286,0.8303,0.8001,1.0,0.1251,0.9117,color|sakura-pop|surface_0|h
331,66.2764,0.4286,0.8303,0.8001,1.0,0.1251,0.9117,geom|type_scale
334,66.2764,0.4286,0.8303,0.8001,1.0,0.1251,0.9117,color|paper-sand|selection|s
336,66.3578,0.4286,0.8303,0.8001,1.0,0.1251,0.9253,color|paper-sand|accent_alt|l
344,66.3578,0.4286,0.8303,0.8001,1.0,0.1251,0.9253,color|ink-violet|success|l
345,66.3869,0.4286,0.8303,0.8024,1.0,0.1251,0.9253,color|paper-sand|text_muted|l
